"Rep","Trtmt","Tray","Row","Col","Survival","HvstDate","Lvs","WetWt","DryWt","WaterWt","Wilting","EstMeanLWt","EstMeanLDWt","EstMeanLWat"
"1","0","1","1","1","1",2016-09-18,5,12.01,1.64,10.37,NA,2.4,0.33,2.07
"1","0","1","1","2","1",2016-09-18,5,6.58,0.89,5.69,NA,1.32,0.18,1.14
"1","0","1","1","3","1",2016-09-18,5,6.06,0.85,5.21,NA,1.21,0.17,1.04
"1","0","1","1","4","1",2016-09-18,4,7.23,0.97,6.26,NA,1.81,0.24,1.57
"1","0","1","2","1","1",2016-09-18,6,6.16,0.66,5.5,NA,1.03,0.11,0.92
"1","0","1","2","2","1",2016-09-18,6,8.7,1.1,7.6,NA,1.45,0.18,1.27
"1","0","1","2","3","1",2016-09-18,6,8.86,1.28,7.58,NA,1.48,0.21,1.26
"1","0","1","2","4","1",2016-09-18,5,6.91,0.98,5.93,NA,1.38,0.2,1.19
"1","0","1","3","1","1",2016-09-18,6,8.96,1.27,7.69,NA,1.49,0.21,1.28
"1","0","1","3","2","1",2016-09-18,5,8.35,0.94,7.41,NA,1.67,0.19,1.48
"1","0","1","3","3","1",2016-09-18,5,6.25,0.85,5.4,NA,1.25,0.17,1.08
"1","0","1","3","4","1",2016-09-18,5,8.79,1.27,7.52,NA,1.76,0.25,1.5
"1","0","1","4","1","1",2016-09-18,6,10.72,1.22,9.5,NA,1.79,0.2,1.58
"1","0","1","4","2","1",2016-09-18,4,9.56,1.09,8.47,NA,2.39,0.27,2.12
"1","0","1","4","3","1",2016-09-18,5,7.21,0.91,6.3,NA,1.44,0.18,1.26
"1","0","1","4","4","1",2016-09-18,4,6.38,0.72,5.66,NA,1.6,0.18,1.42
"1","0","1","5","1","1",2016-09-18,6,9.71,1.28,8.43,NA,1.62,0.21,1.41
"1","0","1","5","2","1",2016-09-18,6,8.88,1.04,7.84,NA,1.48,0.17,1.31
"1","0","1","5","3","1",2016-09-18,5,8,0.98,7.02,NA,1.6,0.2,1.4
"1","0","1","5","4","1",2016-09-18,5,10.06,1.45,8.61,NA,2.01,0.29,1.72
"1","0","1","6","1","1",2016-09-18,6,7.16,0.83,6.33,NA,1.19,0.14,1.06
"1","0","1","6","2","1",2016-09-18,5,10.55,1.39,9.16,NA,2.11,0.28,1.83
"1","0","1","6","3","1",2016-09-18,8,7.47,0.8,6.67,NA,0.93,0.1,0.83
"1","0","1","6","4","1",2016-09-18,4,6.69,0.78,5.91,NA,1.67,0.2,1.48
"1","0","1","7","1","1",2016-09-18,6,9.5,1.07,8.43,NA,1.58,0.18,1.41
"1","0","1","7","2","1",2016-09-18,7,11.94,1.52,10.42,NA,1.71,0.22,1.49
"1","0","1","7","3","1",2016-09-18,4,7.01,0.91,6.1,NA,1.75,0.23,1.53
"1","0","1","7","4","1",2016-09-18,6,9.98,1.39,8.59,NA,1.66,0.23,1.43
"1","0","1","8","1","1",2016-09-18,4,7.7,1.13,6.57,NA,1.93,0.28,1.64
"1","0","1","8","2","1",2016-09-18,6,7.54,0.91,6.63,NA,1.26,0.15,1.11
"1","0","1","8","3","1",2016-09-18,5,9,1.19,7.81,NA,1.8,0.24,1.56
"1","0","1","8","4","1",2016-09-18,4,6.84,0.89,5.95,NA,1.71,0.22,1.49
"1","0","1","9","1","1",2016-09-18,6,11.88,1.79,10.09,NA,1.98,0.3,1.68
"1","0","1","9","2","1",2016-09-18,6,6.43,0.84,5.59,NA,1.07,0.14,0.93
"1","0","1","9","3","1",2016-09-18,5,7.35,0.88,6.47,NA,1.47,0.18,1.29
"1","0","1","9","4","1",2016-09-18,5,6.75,1,5.75,NA,1.35,0.2,1.15
"1","0","1","10","1","1",2016-09-18,5,5.09,0.7,4.39,NA,1.02,0.14,0.88
"1","0","1","10","2","1",2016-09-18,5,7.39,1.03,6.36,NA,1.48,0.21,1.27
"1","0","1","10","3","1",2016-09-18,5,6.78,0.98,5.8,NA,1.36,0.2,1.16
"1","0","1","10","4","1",2016-09-18,4,6.9,0.95,5.95,NA,1.73,0.24,1.49
"1","0","2","1","1","1",2016-09-14,4,6.55,0.63,5.92,NA,1.64,0.16,1.48
"1","0","2","1","2","1",2016-09-14,4,8.14,0.83,7.31,NA,2.04,0.21,1.83
"1","0","2","1","3","1",2016-09-14,6,9.51,0.92,8.59,NA,1.59,0.15,1.43
"1","0","2","1","4","1",2016-09-14,4,5.13,0.62,4.51,NA,1.28,0.16,1.13
"1","0","2","2","1","1",2016-09-14,7,9.21,1.02,8.19,NA,1.32,0.15,1.17
"1","0","2","2","2","1",2016-09-14,6,10.46,1.13,9.33,NA,1.74,0.19,1.56
"1","0","2","2","3","1",2016-09-14,5,8.76,0.9,7.86,NA,1.75,0.18,1.57
"1","0","2","2","4","1",2016-09-14,5,7.83,0.65,7.18,NA,1.57,0.13,1.44
"1","0","2","3","1","1",2016-09-14,5,7.33,0.99,6.34,NA,1.47,0.2,1.27
"1","0","2","3","2","1",2016-09-14,6,8.89,0.75,8.14,NA,1.48,0.13,1.36
"1","0","2","3","3","1",2016-09-14,4,8.61,1,7.61,NA,2.15,0.25,1.9
"1","0","2","3","4","1",2016-09-14,5,9.18,1.05,8.13,NA,1.84,0.21,1.63
"1","0","2","4","1","1",2016-09-14,6,8.18,0.83,7.35,NA,1.36,0.14,1.23
"1","0","2","4","2","1",2016-09-14,4,9.02,1.38,7.64,NA,2.26,0.35,1.91
"1","0","2","4","3","1",2016-09-14,4,8.4,0.92,7.48,NA,2.1,0.23,1.87
"1","0","2","4","4","1",2016-09-14,5,9.18,0.98,8.2,NA,1.84,0.2,1.64
"1","0","2","5","1","1",2016-09-14,5,8.48,1,7.48,NA,1.7,0.2,1.5
