"Rep","Trtmt","Tray","Row","Col","Survival","HvstDate","Lvs","WetWt","DryWt","WaterWt","Wilting","EstMeanLWt","EstMeanLDWt","EstMeanLWat"
"3","2","2","5","1","1",2016-09-27,6,8.87,0.5,8.37,NA,1.48,0.08,1.4
"3","2","2","5","2","1",2016-09-27,5,12.17,0.98,11.19,NA,2.43,0.2,2.24
"3","2","2","5","3","1",2016-09-27,4,6.19,0.59,5.6,NA,1.55,0.15,1.4
"3","2","2","5","4","1",2016-09-27,4,7.16,0.8,6.36,NA,1.79,0.2,1.59
"3","2","2","6","1","1",2016-09-27,6,15.03,1.22,13.81,NA,2.51,0.2,2.3
"3","2","2","6","2","1",2016-09-27,5,15.07,1.53,13.54,NA,3.01,0.31,2.71
"3","2","2","6","3","1",2016-09-27,6,10.66,0.8,9.86,NA,1.78,0.13,1.64
"3","2","2","6","4","1",2016-09-27,7,9.13,0.78,8.35,NA,1.3,0.11,1.19
"3","2","2","7","1","1",2016-09-27,5,11.45,1.14,10.31,NA,2.29,0.23,2.06
"3","2","2","7","2","1",2016-09-27,4,10.68,0.73,9.95,NA,2.67,0.18,2.49
"3","2","2","7","3","1",2016-09-27,4,11.31,1.14,10.17,NA,2.83,0.29,2.54
"3","2","2","7","4","1",2016-09-27,4,10.07,0.95,9.12,NA,2.52,0.24,2.28
"3","2","2","8","1","1",2016-09-27,4,10.46,1.06,9.4,NA,2.62,0.27,2.35
"3","2","2","8","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2","2","8","3","1",2016-09-27,5,15.37,1.28,14.09,NA,3.07,0.26,2.82
"3","2","2","8","4","1",2016-09-27,6,12.39,1.27,11.12,NA,2.07,0.21,1.85
"3","2","2","9","1","1",2016-09-27,5,12.36,1.31,11.05,NA,2.47,0.26,2.21
"3","2","2","9","2","1",2016-09-27,5,7.72,0.69,7.03,NA,1.54,0.14,1.41
"3","2","2","9","3","1",2016-09-27,6,11.51,1.21,10.3,NA,1.92,0.2,1.72
"3","2","2","9","4","1",2016-09-27,5,10.44,1.1,9.34,NA,2.09,0.22,1.87
"3","2","2","10","1","1",2016-09-27,7,12.19,1.13,11.06,NA,1.74,0.16,1.58
"3","2","2","10","2","1",2016-09-27,5,6.64,0.59,6.05,NA,1.33,0.12,1.21
"3","2","2","10","3","1",2016-09-27,6,8.85,1.05,7.8,NA,1.48,0.18,1.3
"3","2","2","10","4","1",2016-09-27,6,10.29,1.12,9.17,NA,1.72,0.19,1.53
"3","5","1","1","1","1",2016-09-28,4,7.68,NA,7.68,NA,1.92,0,1.92
"3","5","1","1","2","1",2016-09-28,5,7.63,NA,7.63,NA,1.53,0,1.53
"3","5","1","1","3","1",2016-09-28,7,10.56,NA,10.56,NA,1.51,0,1.51
"3","5","1","1","4","1",2016-09-28,6,11.3,NA,11.3,NA,1.88,0,1.88
"3","5","1","2","1","1",2016-09-28,5,7.68,NA,7.68,NA,1.54,0,1.54
"3","5","1","2","2","1",2016-09-28,5,10.46,NA,10.46,NA,2.09,0,2.09
"3","5","1","2","3","1",2016-09-28,6,10.24,NA,10.24,NA,1.71,0,1.71
"3","5","1","2","4","1",2016-09-28,7,9.83,NA,9.83,NA,1.4,0,1.4
"3","5","1","3","1","1",2016-09-28,5,8.65,NA,8.65,NA,1.73,0,1.73
"3","5","1","3","2","1",2016-09-28,4,7.18,NA,7.18,NA,1.8,0,1.8
"3","5","1","3","3","1",2016-09-28,6,8.29,NA,8.29,NA,1.38,0,1.38
"3","5","1","3","4","1",2016-09-28,6,10.42,NA,10.42,NA,1.74,0,1.74
"3","5","1","4","1","1",2016-09-28,7,10.63,NA,10.63,NA,1.52,0,1.52
"3","5","1","4","2","1",2016-09-28,5,8.39,NA,8.39,NA,1.68,0,1.68
"3","5","1","4","3","1",2016-09-28,5,8.79,NA,8.79,NA,1.76,0,1.76
"3","5","1","4","4","1",2016-09-28,4,5.7,NA,5.7,NA,1.43,0,1.43
"3","5","1","5","1","1",2016-09-28,5,10.65,NA,10.65,NA,2.13,0,2.13
"3","5","1","5","2","1",2016-09-28,5,9.31,NA,9.31,NA,1.86,0,1.86
"3","5","1","5","3","1",2016-09-28,5,9.43,NA,9.43,NA,1.89,0,1.89
"3","5","1","5","4","1",2016-09-28,4,5.59,NA,5.59,NA,1.4,0,1.4
"3","5","1","6","1","1",2016-09-28,5,9.1,NA,9.1,NA,1.82,0,1.82
"3","5","1","6","2","1",2016-09-28,5,9.64,NA,9.64,NA,1.93,0,1.93
"3","5","1","6","3","1",2016-09-28,5,10.36,NA,10.36,NA,2.07,0,2.07
"3","5","1","6","4","1",2016-09-28,4,5.28,NA,5.28,NA,1.32,0,1.32
"3","5","1","7","1","1",2016-09-28,4,11.56,NA,11.56,NA,2.89,0,2.89
"3","5","1","7","2","1",2016-09-28,6,10.67,NA,10.67,NA,1.78,0,1.78
"3","5","1","7","3","1",2016-09-28,4,7.44,NA,7.44,NA,1.86,0,1.86
"3","5","1","7","4","1",2016-09-28,4,8.44,NA,8.44,NA,2.11,0,2.11
"3","5","1","8","1","1",2016-09-28,4,5.19,NA,5.19,NA,1.3,0,1.3
"3","5","1","8","2","1",2016-09-28,5,10.1,NA,10.1,NA,2.02,0,2.02
"3","5","1","8","3","1",2016-09-28,6,9.98,NA,9.98,NA,1.66,0,1.66
"3","5","1","8","4","1",2016-09-28,3,6.58,NA,6.58,NA,2.19,0,2.19
"3","5","1","9","1","1",2016-09-28,3,4.91,NA,4.91,NA,1.64,0,1.64
"3","5","1","9","2","1",2016-09-28,4,6.89,NA,6.89,NA,1.72,0,1.72
"3","5","1","9","3","1",2016-09-28,4,6.05,NA,6.05,NA,1.51,0,1.51
"3","5","1","9","4","1",2016-09-28,4,9.3,NA,9.3,NA,2.33,0,2.33
"3","5","1","10","1","1",2016-09-28,5,8.12,NA,8.12,NA,1.62,0,1.62
"3","5","1","10","2","1",2016-09-28,6,7.39,NA,7.39,NA,1.23,0,1.23
