"Rep","Trtmt","Tray","Row","Col","Survival","HvstDate","Lvs","WetWt","DryWt","WaterWt","Wilting","EstMeanLWt","EstMeanLDWt","EstMeanLWat"
"2","0","1","1","1","1",2016-09-23,5,6.4,0.88,5.52,NA,1.28,0.18,1.1
"2","0","1","1","2","1",2016-09-23,5,5.94,0.79,5.15,NA,1.19,0.16,1.03
"2","0","1","1","3","1",2016-09-23,6,7.73,0.88,6.85,NA,1.29,0.15,1.14
"2","0","1","1","4","1",2016-09-23,5,7.47,0.98,6.49,NA,1.49,0.2,1.3
"2","0","1","2","1","1",2016-09-23,6,7.93,0.96,6.97,NA,1.32,0.16,1.16
"2","0","1","2","2","1",2016-09-23,3,5.88,0.73,5.15,NA,1.96,0.24,1.72
"2","0","1","2","3","1",2016-09-23,5,6.58,0.78,5.8,NA,1.32,0.16,1.16
"2","0","1","2","4","1",2016-09-23,5,7.58,0.84,6.74,NA,1.52,0.17,1.35
"2","0","1","3","1","1",2016-09-23,4,5.82,0.86,4.96,NA,1.46,0.22,1.24
"2","0","1","3","2","1",2016-09-23,6,5.69,0.55,5.14,NA,0.95,0.09,0.86
"2","0","1","3","3","1",2016-09-23,5,8.68,1.09,7.59,NA,1.74,0.22,1.52
"2","0","1","3","4","1",2016-09-23,5,6.23,0.72,5.51,NA,1.25,0.14,1.1
"2","0","1","4","1","1",2016-09-23,5,5.95,0.68,5.27,NA,1.19,0.14,1.05
"2","0","1","4","2","1",2016-09-23,6,6.41,0.71,5.7,NA,1.07,0.12,0.95
"2","0","1","4","3","1",2016-09-23,5,7.84,0.85,6.99,NA,1.57,0.17,1.4
"2","0","1","4","4","1",2016-09-23,5,5.51,0.61,4.9,NA,1.1,0.12,0.98
"2","0","1","5","1","1",2016-09-23,6,7.46,0.93,6.53,NA,1.24,0.16,1.09
"2","0","1","5","2","1",2016-09-23,5,6.1,0.65,5.45,NA,1.22,0.13,1.09
"2","0","1","5","3","1",2016-09-23,4,5.42,0.64,4.78,NA,1.36,0.16,1.2
"2","0","1","5","4","1",2016-09-23,4,5.78,0.72,5.06,NA,1.45,0.18,1.27
"2","0","1","6","1","1",2016-09-23,4,6.17,0.71,5.46,NA,1.54,0.18,1.37
"2","0","1","6","2","1",2016-09-23,6,7.52,0.89,6.63,NA,1.25,0.15,1.11
"2","0","1","6","3","1",2016-09-23,4,4.76,0.58,4.18,NA,1.19,0.15,1.05
"2","0","1","6","4","1",2016-09-23,6,7.91,0.91,7,NA,1.32,0.15,1.17
"2","0","1","7","1","1",2016-09-23,5,6.42,0.77,5.65,NA,1.28,0.15,1.13
"2","0","1","7","2","1",2016-09-23,5,6.32,0.73,5.59,NA,1.26,0.15,1.12
"2","0","1","7","3","1",2016-09-23,6,9.16,1.08,8.08,NA,1.53,0.18,1.35
"2","0","1","7","4","1",2016-09-23,5,7.84,0.89,6.95,NA,1.57,0.18,1.39
"2","0","1","8","1","1",2016-09-23,5,5.58,0.65,4.93,NA,1.12,0.13,0.99
"2","0","1","8","2","1",2016-09-23,4,5.28,0.66,4.62,NA,1.32,0.17,1.16
"2","0","1","8","3","1",2016-09-23,5,6.49,0.65,5.84,NA,1.3,0.13,1.17
"2","0","1","8","4","1",2016-09-23,8,8.22,0.79,7.43,NA,1.03,0.1,0.93
"2","0","1","9","1","1",2016-09-23,6,5.78,0.77,5.01,NA,0.96,0.13,0.84
"2","0","1","9","2","1",2016-09-23,6,7.81,0.89,6.92,NA,1.3,0.15,1.15
"2","0","1","9","3","1",2016-09-23,7,9.45,1,8.45,NA,1.35,0.14,1.21
"2","0","1","9","4","1",2016-09-23,5,7.88,0.86,7.02,NA,1.58,0.17,1.4
"2","0","1","10","1","1",2016-09-23,4,6.6,0.8,5.8,NA,1.65,0.2,1.45
"2","0","1","10","2","1",2016-09-23,6,6.76,0.97,5.79,NA,1.13,0.16,0.97
"2","0","1","10","3","1",2016-09-23,5,7.63,1.01,6.62,NA,1.53,0.2,1.32
"2","0","1","10","4","1",2016-09-23,4,6.49,0.75,5.74,NA,1.62,0.19,1.44
"2","0","2","1","1","1",2016-09-20,6,7.1,0.85,6.25,NA,1.18,0.14,1.04
"2","0","2","1","2","1",2016-09-20,6,7.34,0.82,6.52,NA,1.22,0.14,1.09
"2","0","2","1","3","1",2016-09-20,6,7.25,0.76,6.49,NA,1.21,0.13,1.08
"2","0","2","1","4","1",2016-09-20,3,4.23,0.5,3.73,NA,1.41,0.17,1.24
"2","0","2","2","1","1",2016-09-20,6,7.94,0.81,7.13,NA,1.32,0.14,1.19
"2","0","2","2","2","1",2016-09-20,7,9.73,0.9,8.83,NA,1.39,0.13,1.26
"2","0","2","2","3","1",2016-09-20,6,8.06,0.87,7.19,NA,1.34,0.15,1.2
"2","0","2","2","4","1",2016-09-20,5,7.7,0.88,6.82,NA,1.54,0.18,1.36
"2","0","2","3","1","1",2016-09-20,6,6.56,0.65,5.91,NA,1.09,0.11,0.99
"2","0","2","3","2","1",2016-09-20,4,5.77,0.57,5.2,NA,1.44,0.14,1.3
"2","0","2","3","3","1",2016-09-20,5,6.54,0.55,5.99,NA,1.31,0.11,1.2
"2","0","2","3","4","1",2016-09-20,4,7,0.85,6.15,NA,1.75,0.21,1.54
"2","0","2","4","1","1",2016-09-20,4,5.64,0.59,5.05,NA,1.41,0.15,1.26
"2","0","2","4","2","1",2016-09-20,4,5.6,0.54,5.06,NA,1.4,0.14,1.27
"2","0","2","4","3","1",2016-09-20,6,9.24,0.88,8.36,NA,1.54,0.15,1.39
"2","0","2","4","4","1",2016-09-20,4,4.49,0.53,3.96,NA,1.12,0.13,0.99
"2","0","2","5","1","1",2016-09-20,5,6.1,0.71,5.39,NA,1.22,0.14,1.08
"2","0","2","5","2","1",2016-09-20,6,7.67,0.76,6.91,NA,1.28,0.13,1.15
"2","0","2","5","3","1",2016-09-20,6,6.18,0.69,5.49,NA,1.03,0.12,0.92
"2","0","2","5","4","1",2016-09-20,5,5.4,0.57,4.83,NA,1.08,0.11,0.97
"2","0","2","6","1","1",2016-09-20,6,5.68,0.65,5.03,NA,0.95,0.11,0.84
"2","0","2","6","2","1",2016-09-20,4,4.8,0.47,4.33,NA,1.2,0.12,1.08
"2","0","2","6","3","1",2016-09-20,4,4.84,0.46,4.38,NA,1.21,0.12,1.1
"2","0","2","6","4","1",2016-09-20,6,8.54,0.92,7.62,NA,1.42,0.15,1.27
"2","0","2","7","1","1",2016-09-20,4,5.46,0.64,4.82,NA,1.37,0.16,1.21
"2","0","2","7","2","1",2016-09-20,4,6.16,0.7,5.46,NA,1.54,0.18,1.37
"2","0","2","7","3","1",2016-09-20,4,3.26,0.35,2.91,NA,0.82,0.09,0.73
"2","0","2","7","4","1",2016-09-20,5,5.42,0.67,4.75,NA,1.08,0.13,0.95
"2","0","2","8","1","1",2016-09-20,5,7.13,0.69,6.44,NA,1.43,0.14,1.29
"2","0","2","8","2","1",2016-09-20,5,6.04,0.68,5.36,NA,1.21,0.14,1.07
"2","0","2","8","3","1",2016-09-20,6,7.38,0.84,6.54,NA,1.23,0.14,1.09
"2","0","2","8","4","1",2016-09-20,6,7.12,0.8,6.32,NA,1.19,0.13,1.05
"2","0","2","9","1","1",2016-09-20,6,7.79,0.82,6.97,NA,1.3,0.14,1.16
"2","0","2","9","2","1",2016-09-20,4,6.46,0.6,5.86,NA,1.62,0.15,1.47
"2","0","2","9","3","1",2016-09-20,4,6.21,0.68,5.53,NA,1.55,0.17,1.38
"2","0","2","9","4","1",2016-09-20,4,4.05,0.51,3.54,NA,1.01,0.13,0.89
"2","0","2","10","1","1",2016-09-20,7,7.09,0.62,6.47,NA,1.01,0.09,0.92
"2","0","2","10","2","1",2016-09-20,5,5.28,0.56,4.72,NA,1.06,0.11,0.94
"2","0","2","10","3","1",2016-09-20,4,5.29,0.62,4.67,NA,1.32,0.16,1.17
"2","0","2","10","4","1",2016-09-20,5,6.55,0.76,5.79,NA,1.31,0.15,1.16
"2","0","3","1","1","1",2016-09-20,6,7.99,0.76,7.23,NA,1.33,0.13,1.21
"2","0","3","1","2","1",2016-09-20,6,8,0.82,7.18,NA,1.33,0.14,1.2
"2","0","3","1","3","1",2016-09-20,8,9.14,0.88,8.26,NA,1.14,0.11,1.03
"2","0","3","1","4","1",2016-09-20,6,8.85,0.87,7.98,NA,1.48,0.15,1.33
"2","0","3","2","1","1",2016-09-20,6,8.21,0.72,7.49,NA,1.37,0.12,1.25
"2","0","3","2","2","1",2016-09-20,5,7.55,0.79,6.76,NA,1.51,0.16,1.35
"2","0","3","2","3","1",2016-09-20,5,6.9,0.67,6.23,NA,1.38,0.13,1.25
"2","0","3","2","4","1",2016-09-20,5,8.1,0.75,7.35,NA,1.62,0.15,1.47
"2","0","3","3","1","1",2016-09-20,4,4.2,0.41,3.79,NA,1.05,0.1,0.95
"2","0","3","3","2","1",2016-09-20,5,7.65,0.91,6.74,NA,1.53,0.18,1.35
"2","0","3","3","3","1",2016-09-20,6,7.92,0.66,7.26,NA,1.32,0.11,1.21
"2","0","3","3","4","1",2016-09-20,6,7.89,0.8,7.09,NA,1.32,0.13,1.18
"2","0","3","4","1","1",2016-09-20,4,4.38,0.48,3.9,NA,1.1,0.12,0.98
"2","0","3","4","2","1",2016-09-20,6,10.37,1.04,9.33,NA,1.73,0.17,1.56
"2","0","3","4","3","1",2016-09-20,5,8.15,0.91,7.24,NA,1.63,0.18,1.45
"2","0","3","4","4","1",2016-09-20,5,7.2,0.71,6.49,NA,1.44,0.14,1.3
"2","0","3","5","1","1",2016-09-20,5,6.78,0.72,6.06,NA,1.36,0.14,1.21
"2","0","3","5","2","1",2016-09-20,5,7.71,0.79,6.92,NA,1.54,0.16,1.38
"2","0","3","5","3","1",2016-09-20,4,6.19,0.54,5.65,NA,1.55,0.14,1.41
"2","0","3","5","4","1",2016-09-20,4,5.08,0.38,4.7,NA,1.27,0.1,1.18
"2","0","3","6","1","1",2016-09-20,4,7.06,0.68,6.38,NA,1.77,0.17,1.6
"2","0","3","6","2","1",2016-09-20,4,6.86,0.64,6.22,NA,1.72,0.16,1.56
"2","0","3","6","3","1",2016-09-20,4,7.98,0.76,7.22,NA,2,0.19,1.81
"2","0","3","6","4","1",2016-09-20,6,6.4,0.63,5.77,NA,1.07,0.11,0.96
"2","0","3","7","1","1",2016-09-20,6,6.57,0.61,5.96,NA,1.1,0.1,0.99
"2","0","3","7","2","1",2016-09-20,5,9.41,1.06,8.35,NA,1.88,0.21,1.67
