Rep,Trtmt,Tray,Row,Col,Survival,HvstDate,Lvs,WetWt,DryWt,WaterWt,Wilting,EstMeanLWt,EstMeanLDWt,EstMeanLWat
3,5,2,2,1,1,26-Sep-16,4,9.53,0.81,8.72,,2.38,0.20,2.18
3,5,2,2,2,1,26-Sep-16,4,7.13,0.78,6.35,,1.78,0.20,1.59
3,5,2,2,3,1,26-Sep-16,6,9.50,0.92,8.58,,1.58,0.15,1.43
3,5,2,2,4,1,26-Sep-16,4,10.04,1.03,9.01,,2.51,0.26,2.25
3,5,2,3,1,1,26-Sep-16,4,7.33,0.74,6.59,,1.83,0.19,1.65
3,5,2,3,2,1,26-Sep-16,4,8.44,0.86,7.58,,2.11,0.22,1.90
3,5,2,3,3,1,26-Sep-16,6,10.53,0.98,9.55,,1.76,0.16,1.59
3,5,2,3,4,1,26-Sep-16,6,11.72,1.19,10.53,,1.95,0.20,1.76
3,5,2,4,1,1,26-Sep-16,4,7.40,0.84,6.56,,1.85,0.21,1.64
3,5,2,4,2,1,26-Sep-16,7,9.62,0.65,8.97,,1.37,0.09,1.28
3,5,2,4,3,1,26-Sep-16,5,11.32,1.01,10.31,,2.26,0.20,2.06
3,5,2,4,4,1,26-Sep-16,4,7.18,0.56,6.62,,1.80,0.14,1.66
3,5,2,5,1,1,26-Sep-16,4,7.06,0.71,6.35,,1.77,0.18,1.59
3,5,2,5,2,1,26-Sep-16,5,8.76,0.80,7.96,,1.75,0.16,1.59
3,5,2,5,3,1,26-Sep-16,5,9.03,0.89,8.14,,1.81,0.18,1.63
3,5,2,5,4,1,26-Sep-16,4,7.75,0.90,6.85,,1.94,0.23,1.71
3,5,2,6,1,1,26-Sep-16,5,8.06,0.52,7.54,,1.61,0.10,1.51
3,5,2,6,2,1,26-Sep-16,4,8.81,0.82,7.99,,2.20,0.21,2.00
3,5,2,6,3,1,26-Sep-16,7,9.36,0.90,8.46,,1.34,0.13,1.21
3,5,2,6,4,1,26-Sep-16,7,13.86,0.85,13.01,,1.98,0.12,1.86
3,5,2,7,1,1,26-Sep-16,5,8.23,0.69,7.54,,1.65,0.14,1.51
3,5,2,7,2,1,26-Sep-16,8,14.11,1.26,12.85,,1.76,0.16,1.61
3,5,2,7,3,1,26-Sep-16,6,7.92,0.50,7.42,,1.32,0.08,1.24
3,5,2,7,4,1,26-Sep-16,9,10.37,0.71,9.66,,1.15,0.08,1.07
3,5,2,8,1,1,26-Sep-16,7,11.06,0.84,10.22,,1.58,0.12,1.46
3,5,2,8,2,1,26-Sep-16,4,10.17,1.05,9.12,,2.54,0.26,2.28
3,5,2,8,3,1,26-Sep-16,5,10.78,0.72,10.06,,2.16,0.14,2.01
3,5,2,8,4,1,26-Sep-16,5,11.47,1.06,10.41,,2.29,0.21,2.08
3,5,2,9,1,1,26-Sep-16,6,11.02,1.03,9.99,,1.84,0.17,1.67
3,5,2,9,2,1,26-Sep-16,6,10.47,0.90,9.57,,1.75,0.15,1.60
3,5,2,9,3,1,26-Sep-16,4,8.85,0.82,8.03,,2.21,0.21,2.01
3,5,2,9,4,1,26-Sep-16,8,9.96,0.87,9.09,,1.25,0.11,1.14
3,5,2,10,1,1,26-Sep-16,5,7.04,0.81,6.23,,1.41,0.16,1.25
3,5,2,10,2,1,26-Sep-16,4,5.64,0.67,4.97,,1.41,0.17,1.24
3,5,2,10,3,1,26-Sep-16,4,7.70,0.85,6.85,,1.93,0.21,1.71
3,5,2,10,4,1,26-Sep-16,3,5.25,0.68,4.57,,1.75,0.23,1.52
